product_id,product_category,product_name,product_url,discounted_price,original_price,product_images_url,page_no
product_wrist_watch_1026,wrist_watch,Smart Bluetooth Watches For Ios And Android Bands,https://www.jumia.com.ng/generic-smart-bluetooth-watches-for-ios-and-android-bands-93317865.html,"₦ 4,540","₦ 6,356","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/56/871339/1.jpg?6108,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/56/871339/2.jpg?6108,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/56/871339/3.jpg?6108,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/56/871339/4.jpg?6108,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/56/871339/5.jpg?6108",1
product_ear_pods_528,ear_pods,2 PCS Foam Earpads Earmuffs For AirPods Max,https://www.jumia.com.ng/generic-2-pcs-foam-earpads-earmuffs-for-airpods-max-225012338.html,"₦ 14,630","₦ 20,900",https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/83/3210522/1.jpg?6268,4
product_mouse_221,mouse,2.4Ghz Wireless Gaming Mouse / Mice - Gray,https://www.jumia.com.ng/generic-2.4ghz-wireless-gaming-mouse-mice-gray-78881318.html,"₦ 2,600","₦ 4,400","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/81/318887/1.jpg?4422,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/81/318887/2.jpg?4422",1
product_usb_hub_176,usb_hub,OTG Type-c Usb C Adapter Micro Type C Usb-c Usb 3.0 Charge Data Converter,https://www.jumia.com.ng/generic-otg-type-c-usb-c-adapter-micro-type-c-usb-c-usb-3.0-charge-data-converter-89785610.html,₦ 930,"₦ 1,395","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/658798/1.jpg?3241,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/658798/2.jpg?3241,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/658798/3.jpg?3241,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/658798/4.jpg?3241,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/658798/5.jpg?3241,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/658798/6.jpg?3241,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/658798/7.jpg?3241,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/01/658798/8.jpg?3241",5
product_ear_pods_442,ear_pods,Headphones Bluetooth Earphones Earbuds Ear Bods Stereo Sport,https://www.jumia.com.ng/generic-headphones-bluetooth-earphones-earbuds-ear-bods-stereo-sport-194788995.html,"₦ 3,210","₦ 4,494","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/59/9887491/1.jpg?0732,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/59/9887491/2.jpg?0732,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/59/9887491/3.jpg?0732,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/59/9887491/4.jpg?0732,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/59/9887491/5.jpg?0732,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/59/9887491/6.jpg?0732",2
product_headset_757,headset,Strong P9 Wireless Bluetooth Stereo OverEar Foldable Headset,https://www.jumia.com.ng/generic-strong-p9-wireless-bluetooth-stereo-overear-foldable-headset-206660415.html,"₦ 7,800","₦ 13,000",https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/51/4066602/1.jpg?0144,4
product_ear_pods_459,ear_pods,New Pro6 White-Black Earphone Wireless Bluetooth Pods,https://www.jumia.com.ng/generic-new-pro6-white-black-earphone-wireless-bluetooth-pods-217196078.html,"₦ 9,990","₦ 19,979","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/87/0691712/1.jpg?3498,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/87/0691712/2.jpg?3498,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/87/0691712/3.jpg?3498,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/87/0691712/4.jpg?3498,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/87/0691712/5.jpg?3498",2
product_mouse_397,mouse,2.4G Wireless Mouse Slim Rechargeable 3 Adjustable DPI,https://www.jumia.com.ng/generic-2.4g-wireless-mouse-slim-rechargeable-3-adjustable-dpi-98311875.html,"₦ 3,448","₦ 7,998","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/57/811389/1.jpg?9627,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/57/811389/2.jpg?9627,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/57/811389/3.jpg?9627",5
product_office_chairs_1230,office_chairs,Ergonomic Mesh  Swivel Chair,https://www.jumia.com.ng/generic-ergonomic-mesh-swivel-chair-70482582.html,"₦ 33,000","₦ 36,000","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/28/528407/1.jpg?8389,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/28/528407/2.jpg?8389,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/28/528407/3.jpg?8389",1
product_ear_pods_456,ear_pods,Wireless Headphones Ear Pods 0 Out Of 5,https://www.jumia.com.ng/generic-wireless-headphones-ear-pods-0-out-of-5-190048054.html,"₦ 16,090","₦ 32,170","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/45/0840091/1.jpg?8557,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/45/0840091/2.jpg?8557,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/45/0840091/3.jpg?8557",2
product_office_chairs_1296,office_chairs,FURGLE Custom Home & Studio Ergonomic Chair(ALL BLACK),https://www.jumia.com.ng/generic-furgle-custom-home-studio-ergonomic-chairall-black-108448646.html,"₦ 175,000","₦ 190,000","https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/64/6844801/1.jpg?3951,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/64/6844801/2.jpg?3951,https://ng.jumia.is/unsafe/fit-in/680x680/filters:fill(white)/product/64/6844801/3.jpg?3951",3
